Sample_ID,Treatment,Compartments,Original_label,WEEK,Irrigation,Name1,Name2,sample name
I23.1095.A02,Mutant,rhizosphere,9_RS_Mu_6,5weeks,Watered,W5RSMu_4,W5RSMu,YG103
I23.1095.B02,Mutant,rhizosphere,10_RS_Mu_6,5weeks,Watered,W5RSMu_5,W5RSMu,YG104
I23.1095.C02,Control,rhizosphere,11_RS_C_6,5weeks,Watered,W5RSC_1,W5RSC,YG105
I23.1095.D02,Control,rhizosphere,12_RS_C_6,5weeks,Watered,W5RSC_2,W5RSC,YG106
I23.1095.E02,Control,rhizosphere,13_RS_C_6,5weeks,Watered,W5RSC_3,W5RSC,YG107
I23.1095.F02,Control,rhizosphere,14_RS_C_6,5weeks,Watered,W5RSC_4,W5RSC,YG108
I23.1095.G02,Control,rhizosphere,15_RS_C_6,5weeks,Watered,W5RSC_5,W5RSC,YG109
I23.1095.H02,SBW25,rhizoplane,1_RP_SB_6,5weeks,Watered,W5RPSB_1,W5RPSB,YG110
I23.1095.A03,SBW25,rhizoplane,2_RP_SB_6,5weeks,Watered,W5RPSB_2,W5RPSB,YG111
I23.1095.B03,SBW25,rhizoplane,3_RP_SB_6,5weeks,Watered,W5RPSB_3,W5RPSB,YG112
I23.1095.C03,SBW25,rhizoplane,4_RP_SB_6,5weeks,Watered,W5RPSB_4,W5RPSB,YG113
I23.1095.D03,SBW25,rhizoplane,5_RP_SB_6,5weeks,Watered,W5RPSB_5,W5RPSB,YG114
I23.1095.E03,Mutant,rhizoplane,6_RP_Mu_6,5weeks,Watered,W5RPMu_1,W5RPMu,YG115
I23.1095.F03,Mutant,rhizoplane,7_RP_Mu_6,5weeks,Watered,W5RPMu_2,W5RPMu,YG116
I23.1095.G03,Mutant,rhizoplane,8_RP_Mu_6,5weeks,Watered,W5RPMu_3,W5RPMu,YG117
I23.1095.H03,Mutant,rhizoplane,9_RP_Mu_6,5weeks,Watered,W5RPMu_4,W5RPMu,YG118
I23.1095.A04,Mutant,rhizoplane,10_RP_Mu_6,5weeks,Watered,W5RPMu_5,W5RPMu,YG119
I23.1095.B04,Control,rhizoplane,11_RP_C_6,5weeks,Watered,W5RPC_1,W5RPC,YG120
I23.1095.C04,Control,rhizoplane,12_RP_C_6,5weeks,Watered,W5RPC_2,W5RPC,YG121
I23.1095.D04,Control,rhizoplane,13_RP_C_6,5weeks,Watered,W5RPC_3,W5RPC,YG122
I23.1095.E04,Control,rhizoplane,14_RP_C_6,5weeks,Watered,W5RPC_4,W5RPC,YG123
I23.1095.F04,Control,rhizoplane,15_RP_C_6,5weeks,Watered,W5RPC_5,W5RPC,YG124
I23.1095.A05,SBW25,rhizosphere,16_D_RS_SB_6,5weeks,Drought,D5RSSB_1,D5RSSB,YG125
I23.1095.B05,SBW25,rhizosphere,17_D_RS_SB_6,5weeks,Drought,D5RSSB_2,D5RSSB,YG126
I23.1095.C05,SBW25,rhizosphere,18_D_RS_SB_6,5weeks,Drought,D5RSSB_3,D5RSSB,YG127
I23.1095.D05,SBW25,rhizosphere,19_D_RS_SB_6,5weeks,Drought,D5RSSB_4,D5RSSB,YG128
I23.1095.E05,SBW25,rhizosphere,20_D_RS_SB_6,5weeks,Drought,D5RSSB_5,D5RSSB,YG129
I23.1095.F05,Mutant,rhizosphere,21_D_RS_Mu_6,5weeks,Drought,D5RSMu_1,D5RSMu,YG130
I23.1095.G05,Mutant,rhizosphere,22_D_RS_Mu_6,5weeks,Drought,D5RSMu_2,D5RSMu,YG131
I23.1095.H05,Mutant,rhizosphere,23_D_RS_Mu_6,5weeks,Drought,D5RSMu_3,D5RSMu,YG132
I23.1095.A06,Mutant,rhizosphere,24_D_RS_Mu_6,5weeks,Drought,D5RSMu_4,D5RSMu,YG133
I23.1095.B06,Mutant,rhizosphere,25_D_RS_Mu_6,5weeks,Drought,D5RSMu_5,D5RSMu,YG134
I23.1095.C06,Control,rhizosphere,26_D_RS_C_6,5weeks,Drought,D5RSC_1,D5RSC,YG135
I23.1095.D06,Control,rhizosphere,27_D_RS_C_6,5weeks,Drought,D5RSC_2,D5RSC,YG136
I23.1095.E06,Control,rhizosphere,28_D_RS_C_6,5weeks,Drought,D5RSC_3,D5RSC,YG137
I23.1095.F06,Control,rhizosphere,29_D_RS_C_6,5weeks,Drought,D5RSC_4,D5RSC,YG138
I23.1095.G06,Control,rhizosphere,30_D_RS_C_6,5weeks,Drought,D5RSC_5,D5RSC,YG139
I23.1095.H06,SBW25,rhizoplane,16_D_RP_SB_6,5weeks,Drought,D5RPSB_1,D5RPSB,YG140
I23.1095.A07,SBW25,rhizoplane,17_D_RP_SB_6,5weeks,Drought,D5RPSB_2,D5RPSB,YG141
I23.1095.B07,SBW25,rhizoplane,18_D_RP_SB_6,5weeks,Drought,D5RPSB_3,D5RPSB,YG142
I23.1095.C07,SBW25,rhizoplane,19_D_RP_SB_6,5weeks,Drought,D5RPSB_4,D5RPSB,YG143
I23.1095.D07,SBW25,rhizoplane,20_D_RP_SB_6,5weeks,Drought,D5RPSB_5,D5RPSB,YG144
I23.1095.E07,Mutant,rhizoplane,21_D_RP_Mu_6,5weeks,Drought,D5RPMu_1,D5RPMu,YG145
I23.1095.F07,Mutant,rhizoplane,22_D_RP_Mu_6,5weeks,Drought,D5RPMu_2,D5RPMu,YG146
I23.1095.G07,Mutant,rhizoplane,23_D_RP_Mu_6,5weeks,Drought,D5RPMu_3,D5RPMu,YG147
I23.1095.H07,Mutant,rhizoplane,24_D_RP_Mu_6,5weeks,Drought,D5RPMu_4,D5RPMu,YG148
I23.1095.A08,Mutant,rhizoplane,25_D_RP_Mu_6,5weeks,Drought,D5RPMu_5,D5RPMu,YG149
I23.1095.B08,Control,rhizoplane,26_D_RP_C_6,5weeks,Drought,D5RPC_1,D5RPC,YG150
I23.1095.C08,Control,rhizoplane,27_D_RP_C_6,5weeks,Drought,D5RPC_2,D5RPC,YG151
I23.1095.D08,Control,rhizoplane,28_D_RP_C_6,5weeks,Drought,D5RPC_3,D5RPC,YG152
I23.1095.E08,Control,rhizoplane,29_D_RP_C_6,5weeks,Drought,D5RPC_4,D5RPC,YG153
I23.1095.F08,Control,rhizoplane,30_D_RP_C_6,5weeks,Drought,D5RPC_5,D5RPC,YG154
